node_1|node_2|edge|chunk_id
machine learning approaches|systematically identify transcriptional regulatory interactions|Offer the potential to systematically identify transcriptional regulatory interactions from a compendium of microarray expression profiles.|0ba7957c0cd34c9c931b23e3ebe98234
machine learning approaches|global performance|Assessing the global performance of four existing classes of inference algorithms using 445 Escherichia coli Affymetrix arrays and 3,216 known E. coli regulatory interactions from RegulonDB.|0ba7957c0cd34c9c931b23e3ebe98234
four existing classes of inference algorithms|global performance|Assessing the global performance of four existing classes of inference algorithms using 445 Escherichia coli Affymetrix arrays and 3,216 known E. coli regulatory interactions from RegulonDB.|0ba7957c0cd34c9c931b23e3ebe98234
escherichia coli|affymetrix arrays|Using 445 Escherichia coli Affymetrix arrays and 3,216 known E. coli regulatory interactions from RegulonDB.|0ba7957c0cd34c9c931b23e3ebe98234
regulondb|known e. coli regulatory interactions|Using 445 Escherichia coli Affymetrix arrays and 3,216 known E. Coli regulatory interactions from RegulonDB.|0ba7957c0cd34c9c931b23e3ebe98234
regulondb|performance estimates|Coupled with RegulonDB, provides a valuable model system for further improvement of network inference algorithms using experimental data.|0ba7957c0cd34c9c931b23e3ebe98234
clr algorithm|global performance|Assessing the global performance of four existing classes of inference algorithms using 445 Escherichia coli Affymetrix arrays and 3,216 known E. Coli regulatory interactions from RegulonDB.|0ba7957c0cd34c9c931b23e3ebe98234
clr algorithm|precision gain|Demonstrates an average precision gain of 36% relative to the next-best performing algorithm.|0ba7957c0cd34c9c931b23e3ebe98234
clr algorithm|true positive rate|At a 60% true positive rate, identifies 1,079 regulatory interactions, of which 338 were in the previously known network and 741 were novel predictions.|0ba7957c0cd34c9c931b23e3ebe98234
three transcription factors|chromatin immunoprecipitation|Testing the predicted interactions for three transcription factors with chromatin immunoprecipitation, confirming 21 novel interactions and verifying our RegulonDB-based performance estimates.|0ba7957c0cd34c9c931b23e3ebe98234
regulatory link|central metabolic control of iron transport|Identified a regulatory link providing central metabolic control of iron transport, which we confirmed with real-time quantitative PCR.|0ba7957c0cd34c9c931b23e3ebe98234
nucleotide excision repair|dna damage|In nucleotide excision repair, DNA damage is removed through incision of the damaged strand on both sides of the lesion.|f2ed5f535cd54c5f906a532ca97d86de
excision repair|cancer|Individuals defective in excision repair exhibit a high incidence of cancer.|f2ed5f535cd54c5f906a532ca97d86de
sunlight|excision repair|Excision repair is an important defense mechanism against the two major carcinogens, sunlight and cigarette smoke.|f2ed5f535cd54c5f906a532ca97d86de
escherichia coli|excision repair|In Escherichia coli, the damaged base is removed in 12-13 nucleotide (nt)-long oligomer; in eukaryotes including humans the damage is excised in a 24-32 nt-long fragment.|f2ed5f535cd54c5f906a532ca97d86de
uvra|excision repair|Excision in Escherichia coli is accomplished by three proteins designated UvrA, UvrB, and UvrC.|f2ed5f535cd54c5f906a532ca97d86de
uvrb|excision repair|Excision in Escherichia coli is accomplished by three proteins designated UvrA, UvrB, and UvrC.|f2ed5f535cd54c5f906a532ca97d86de
uvrc|excision repair|Excision in Escherichia coli is accomplished by three proteins designated UvrA, UvrB, and UvrC.|f2ed5f535cd54c5f906a532ca97d86de
xeroderma pigmentosum (xp)|excision repair|In humans, by contrast, 16 polypeptides including seven xeroderma pigmentosum (XP) proteins are required for the dual incisions.|f2ed5f535cd54c5f906a532ca97d86de
replication protein a|excision repair|In humans, by contrast, 16 polypeptides including seven xeroderma pigmentosum (XP) proteins and the trimric replication protein A [RPA, human single-stranded DNA binding protein (HSSB)] are required for the dual incisions.|f2ed5f535cd54c5f906a532ca97d86de
transcription|excision repair|In humans, excision repair is an important defense mechanism against the two major carcinogens, sunlight and cigarette smoke. Individuals defective in coupling transcription to repair suffer from neurological and skeletal abnormalities.|f2ed5f535cd54c5f906a532ca97d86de
cigarette smoke|excision repair|Excision repair is an important defense mechanism against the two major carcinogens, sunlight and cigarette smoke.|f2ed5f535cd54c5f906a532ca97d86de
sp1|gc box promoter elements|Sp1 is a protein present in mammalian cells that binds to GC box promoter elements and selectively activates mRNA synthesis from genes that contain functional recognition sites.|3b73e1dadba44beca928325644c6a7ed
sp1 (human)|696 c-terminal amino acid residues|We have isolated a cDNA that encodes the 696 C-terminal amino acid residues of human Sp1.|3b73e1dadba44beca928325644c6a7ed
sp1 (human)|e. coli|By expression of truncated fragments of Sp1 in E. coli, we have localized the DNA binding activity to the C-terminal 168 amino acid residues.|3b73e1dadba44beca928325644c6a7ed
sp1 (human) (c-terminal 168 amino acid residues)|zn(ii) finger motifs|In this region, Sp1 has three contiguous Zn(II) finger motifs.|3b73e1dadba44beca928325644c6a7ed
sp1 (human) (c-terminal 168 amino acid residues)|dna|Purified Sp1 requires Zn(II) for sequence-specific binding to DNA. Thus, it is likely that Sp1 interacts with DNA by binding of the Zn(II) fingers.|3b73e1dadba44beca928325644c6a7ed
galactose operon|escherichia coli galactose operon with a defect in adenylate cyclase or the cyclic amp receptor protein|The difference between the mRNA transcripts of these two concepts found in intact E. Coli cells is that the former contains about five nucleotides more at their 5' end.|6f47d46770ae47bcb2dc98fcfeb0c34e
galactose operon|gal mrna molecules made in wild type cells|The gal mRNA molecules made in wild type cells have the same difference as the mRNA transcripts of the Escherichia coli galactose operon found in intact E. Coli cells with a defect in adenylate cyclase or the cyclic AMP receptor protein, which contain about five nucleotides more at their 5' end.|6f47d46770ae47bcb2dc98fcfeb0c34e
gal mrna molecules made in vitro|gal mrna molecules made in vitro in the absence of cyclic amp or cyclic amp receptor protein|The gal mRNA molecules made in vitro also contain about five nucleotides more at their 5' end in the absence of cyclic AMP or cyclic AMP receptor protein compared to those made in the presence of these factors.|6f47d46770ae47bcb2dc98fcfeb0c34e
gal mrna molecules|gal rna synthesized in vitro in the absence of cyclic amp or cyclic amp receptor protein|The same difference between gal mRNA molecules made in vitro in the absence of cyclic AMP or cyclic AMP receptor protein and gal RNA made in the presence of these factors is detected by this assay.|6f47d46770ae47bcb2dc98fcfeb0c34e
gal rna|gal rna made in wild type cells|The intracellular levels of cyclic AMP determine which promoter is utilized for the expression of gal RNA.|6f47d46770ae47bcb2dc98fcfeb0c34e
galactose operon|two overlapping promoters|The same two overlapping promoters control the expression of the galactose operon in intact cells as identified by in vitro transcription of gal DNA fragments.|6f47d46770ae47bcb2dc98fcfeb0c34e
galactose operon|escherichia coli galactose operon with a defect in adenylate cyclase or the cyclic amp receptor protein|The difference between the mRNA transcripts of these two concepts found in intact E. Coli cells is that the former contains about five nucleotides more at their 5' end, indicating that they are regulated by the intracellular levels of cyclic AMP.|6f47d46770ae47bcb2dc98fcfeb0c34e
mrna decay in escherichia coli|factors affecting mrna decay in e. coli|The information available about factors affecting mRNA decay in E. Coli has been gleaned from studying less than 25 of the approximately 4,300 predicted E. Coli messages, which highlights the need to investigate these factors more broadly.|b264563f868749cc8c6640c8bf7e584a
mrna decay in escherichia coli|approximately 80% of all mrnas have half-lives between 3 and 8 minutes in nutrient-rich media and defined media with approximately tripled generation times.||b264563f868749cc8c6640c8bf7e584a
mrna decay in escherichia coli|genes having biologically related metabolic functions are commonly observed to have similar stabilities.||b264563f868749cc8c6640c8bf7e584a
mrna abundance and stability|whereas the half-lives of a limited number of mrnas correlate positively with their abundance, overall, increased mrna stability is not predictive of increased abundance.||b264563f868749cc8c6640c8bf7e584a
putative sites of cleavage by rnase e|the density of putative sites of cleavage by rnase e, which is believed to initiate mrna decay in e. coli, was not predictive of mrna half-life.||b264563f868749cc8c6640c8bf7e584a
free energy of folding of 5' or 3' untranslated region sequences|the free energy of folding of 5' or 3' untranslated region sequences was not predictive of mrna half-life.||b264563f868749cc8c6640c8bf7e584a
mrna decay|global level|Our results identify previously unsuspected features of mRNA decay at a global level, indicating that generalizations about decay derived from the study of individual gene transcripts may have limited applicability.|4d4cb55dfed145eeb3da4a9000f8e932
purr|purine metabolism|The PurR transcription factor plays a critical role in transcriptional regulation of purine metabolism in enterobacteria.|4d4cb55dfed145eeb3da4a9000f8e932
adenine stimulation|purr|Under exogenous adenine stimulation, we elucidate the role of PurR at the genome-scale using high-resolution chromatin immunoprecipitation (ChIP)–chip and gene expression data obtained under in vivo conditions.|4d4cb55dfed145eeb3da4a9000f8e932
microarray data|adenine stimulation|Adenine stimulation led to changes in transcript level of about 10% of Escherichia coli genes, including the purine biosynthesis pathway.|4d4cb55dfed145eeb3da4a9000f8e932
e. coli strain lacking the purr gene|56 genes|From the ChIP–chip analysis, we determined that over 73% of genes directly regulated by PurR were enriched in the biosynthesis, utilization and transport of purine and pyrimidine nucleotides, and 20% of them were functionally unknown. The E. coli strain lacking the purR gene showed that a total of 56 genes are affected by the deletion.|4d4cb55dfed145eeb3da4a9000f8e932
purr|functions and size|Compared to the functional diversity of the regulon of the other general transcription factors in E. coli, the functions and size of the PurR regulon are limited.|4d4cb55dfed145eeb3da4a9000f8e932
motion|individual fluorescently labeled mrna molecules|We track the motion of individual fluorescently labeled mRNA molecules inside live E. coli cells.|8877dd31f08047e99c12625e077c8cdd
subdiffusive|motion|The motion is subdiffusive,|8877dd31f08047e99c12625e077c8cdd
exponent|subdiffusive|with an exponent that is robust to physiological changes,|8877dd31f08047e99c12625e077c8cdd
cytoskeletal elements|subdiffusive|including the disruption of cytoskeletal elements.|8877dd31f08047e99c12625e077c8cdd
motion|e. coli cells|We track the motion of individual fluorescently labeled mRNA molecules inside live E. coli cells.|8877dd31f08047e99c12625e077c8cdd
rna molecule|motion|By modifying the parameters of the RNA molecule and the bacterial cell,|8877dd31f08047e99c12625e077c8cdd
macromolecular crowding|rna molecule|we are able to examine the possible mechanisms that can lead to this unique type of motion, especially the effect of macromolecular crowding.|8877dd31f08047e99c12625e077c8cdd
anomalous diffusion|implications|implies on the kinetics of bacterial gene regulation,|8877dd31f08047e99c12625e077c8cdd
bacterial gene regulation|anomalous diffusion|especially how transcription factors find their DNA targets.|8877dd31f08047e99c12625e077c8cdd
precise measures of rates of biomolecule production|proteins-the direct effectors of biological processes|Quantitative views of cellular functions require precise measures of rates of biomolecule production, especially proteins-the direct effectors of biological processes.|5d34939023dd4f519d9a0858cc7ab949
members of multiprotein complexes|produced in precise proportion to their stoichiometry|Members of multiprotein complexes are made in precise proportion to their stoichiometry,|5d34939023dd4f519d9a0858cc7ab949
components of functional modules|produced differentially according to their hierarchical role|Components of functional modules are produced differentially according to their hierarchical role,|5d34939023dd4f519d9a0858cc7ab949
transcription factors|level of different types is optimized for rapid response|Estimates of absolute protein abundance also reveal principles for optimizing design. These include how the level of different types of transcription factors is optimized for rapid response,|5d34939023dd4f519d9a0858cc7ab949
methionine biosynthesis|balances production cost with activity requirements|How a metabolic pathway (methionine biosynthesis) balances production cost with activity requirements,|5d34939023dd4f519d9a0858cc7ab949
